tran_id,acct_nbr,tran_amt,principal_amt,interest_amt,new_balance,tran_date,tran_time,channel,tran_code
49,13631832,-80,-80,0,4985.18,1/22/1995,35828,A,WD
40,13631732,-120,-120,0,265.03,8/17/1995,104625,A,WD
23,13634482,-28.11,-28.11,0,5038.39,1/21/1995,0,P,WD
25,13626093,0.45,0,0.45,180.66,10/31/1995,235959,,IN
36,13631912,317.64,317.64,0,317.64,5/31/1995,144722,B,DP
12,13628353,2.57,0,2.57,2060.9,12/31/1995,235959,,IN
13,13631472,0,0,0,36.21,1/17/1995,182432,V,IQ
17,13630113,-1010.26,-1010.26,0,1010.26,7/27/1995,152035,C,TR
40,13629632,-21.69,-21.69,0,21.68,2/1/1995,0,P,WD
10,13630143,0.22,0,0.22,174.17,10/31/1995,235959,,IN
26,4.56E+15,276.93,270.86,6.07,-160.28,11/1/1995,0,M,PM
38,4.56E+15,-18.49,-18.49,0,-457.94,11/18/1995,102533,E,CG
87,13632192,-59.73,-59.73,0,59.73,3/17/1995,221711,B,TR
61,13629052,-68.56,-68.56,0,68.55,11/26/1995,182850,B,WD
16,13633533,89.94,89.94,0,262.53,3/2/1995,33515,A,DP
22,4.56E+15,-306.77,-306.77,0,-873.54,8/30/1995,191633,E,CG
3,13631282,249.05,249.05,0,4588.54,2/7/1995,205122,B,DP
75,4.56E+15,-348.99,-348.99,0,-513.1,12/6/1995,5724,E,CG
51,4.56E+15,-60,-60,0,-783.06,12/14/1995,3117,A,CA
46,13629953,-432.29,-432.29,0,3382.67,11/12/1995,111118,A,TR
20,4.56E+15,-79.05,-79.05,0,-178.19,5/21/1995,152953,E,CG
17,13630582,-151.85,-151.85,0,1691.88,1/17/1995,0,P,WD
77,13628092,-213.02,-213.02,0,1288.19,10/20/1995,103343,C,TR
77,4.56E+15,-49.87,-49.87,0,-1000,12/14/1995,170500,E,CG
14,13626693,-73.66,-73.66,0,1205.48,6/29/1995,0,M,WD
12,13628312,-0.15,-0.15,0,11.81,2/1/1995,0,,FK
12,13628172,300.2,300.2,0,302.9,2/4/1995,0,M,DP
16,13632192,-131.49,-131.49,0,3930.41,1/18/1995,180914,V,TR
80,13624922,-309.38,-309.38,0,313.62,8/25/1995,0,P,WD
75,13630882,-0.15,-0.15,0,178.52,5/18/1995,0,,FK
26,13626312,-225.16,-225.16,0,1867.99,3/29/1995,170318,E,WD
24,4.56E+15,0,0,0,-2005.41,9/4/1995,82749,V,IQ
28,13626982,0,0,0,3554.61,1/10/1995,102058,K,IQ
14,4.56E+15,0,0,0,-258.62,3/21/1995,4423,A,IQ
40,13630972,-0.15,-0.15,0,42.35,2/20/1995,0,,FK
71,13627082,-15.98,-15.98,0,15.97,2/12/1995,165449,A,TR
37,4.56E+15,227.44,194.95,32.49,-2805.05,12/4/1995,114319,C,PM
52,13626622,-143.4,-143.4,0,941.08,3/31/1995,0,P,WD
88,13626192,0,0,0,155.97,9/12/1995,114650,B,IQ
63,4.56E+15,-124.67,-124.67,0,-1961.43,4/22/1995,105456,E,CG
32,13626202,-202.69,-202.69,0,243.06,1/10/1995,0,P,WD
88,13629052,0,0,0,268.98,12/14/1995,224624,C,IQ
95,13628962,0,0,0,1239.1,4/12/1995,65045,C,IQ
35,4.56E+15,5578.65,5578.65,0,-353.41,5/5/1995,0,M,PM
69,13631972,-65.16,-65.16,0,33.73,8/31/1995,0,P,WD
83,13629362,-0.15,-0.15,0,275.04,11/7/1995,0,,FK
59,13632102,-284.64,-284.64,0,262.17,7/7/1995,141706,B,TR
46,13632412,-66.45,-66.45,0,66.45,1/13/1995,204014,C,TR
61,13627532,-60,-60,0,209.99,12/20/1995,50132,A,WD
58,13628042,-337.07,-337.07,0,539.27,2/19/1995,0,P,WD
23,13633663,689.49,689.49,0,6928.99,12/10/1995,131637,A,DP
30,4.56E+15,-322.28,-322.28,0,-3374.98,2/27/1995,164049,E,CG
20,4.56E+15,438.4,410.36,28.04,-1580.99,9/6/1995,0,M,PM
14,13627813,6.71,0,6.71,2692.09,9/30/1995,235959,,IN
3,13627252,-302.1,-302.1,0,3013.67,1/4/1995,0,P,WD
33,13629182,-85.82,-85.82,0,928.72,1/20/1995,0,P,WD
13,13633142,-57.38,-57.38,0,1957.98,1/28/1995,0,P,WD
48,13628212,-172.7,-172.7,0,1032.27,11/25/1995,193931,E,WD
29,13632163,1.45,0,1.45,1164.11,11/30/1995,235959,,IN
36,13631962,-0.75,-0.75,0,1002.17,1/5/1995,91019,,FU
62,13634742,-12.93,-12.93,0,1721.15,7/3/1995,0,P,WD
34,4.56E+15,-431.28,-431.28,0,-725.35,7/17/1995,191655,E,CG
45,13630352,-40,-40,0,268.09,11/1/1995,84317,A,WD
87,13630602,311.24,311.24,0,319.01,6/5/1995,165745,A,DP
20,4.56E+15,-120.18,-120.18,0,-3667.22,4/9/1995,162538,E,CG
21,4.56E+15,-683.91,-683.91,0,-1849.07,5/15/1995,104718,E,CG
95,13634752,-0.15,-0.15,0,10.01,2/24/1995,0,,FK
31,13633373,9.75,0,9.75,7810.97,9/30/1995,235959,,IN
13,13629022,-0.15,-0.15,0,861.41,1/27/1995,0,,FK
27,13631673,2.27,0,2.27,908.54,10/31/1995,235959,,IN
60,13629322,0,0,0,240.4,2/6/1995,125058,B,IQ
97,13629932,609.96,609.96,0,3287.27,7/25/1995,0,M,DP
51,4.56E+15,650.68,644.25,6.43,-355.75,12/7/1995,0,M,PM
15,4.56E+15,-41.3,-41.3,0,-415.66,4/22/1995,160605,E,CG
39,13625623,140.63,140.63,0,3859.95,12/27/1995,170033,B,DP
11,13628293,0.85,0,0.85,678.78,11/30/1995,235959,,IN
2,13628103,0.47,0,0.47,379.11,1/31/1995,235959,,IN
39,13628152,-67.59,-67.59,0,374.77,2/4/1995,0,P,WD
11,4.56E+15,0,0,0,-288.82,3/4/1995,84719,A,IQ
5,13632763,2.05,0,2.05,820.52,4/30/1995,235959,,IN
89,13631302,0,0,0,510.28,2/24/1995,34927,B,IQ
56,13633172,63.57,63.57,0,68.78,10/22/1995,85438,B,DP
8,13626972,3.32,0,3.32,2659.37,4/30/1995,235959,,IN
89,13627022,-0.15,-0.15,0,26.57,3/9/1995,0,,FK
33,4.56E+15,-40.22,-40.22,0,-387.75,9/3/1995,101751,E,CG
12,13633482,-132.13,-132.13,0,3253.73,1/4/1995,0,P,WD
75,13625482,100.16,100.16,0,1271.15,8/16/1995,142653,A,DP
17,13628773,-20,-20,0,409.69,7/8/1995,150411,A,WD
7,13634582,-77.31,-77.31,0,77.3,1/5/1995,164751,C,TR
6,13633332,-52.3,-52.3,0,52.29,1/5/1995,152037,B,TR
50,4.56E+15,-200,-200,0,-1602.05,4/19/1995,95327,A,CA
77,13631292,-42.81,-42.81,0,42.82,11/2/1995,123409,E,WD
17,13628752,0,0,0,425.37,1/21/1995,144457,V,IQ
21,13625373,887.56,887.56,0,1170.39,10/30/1995,0,M,DP
8,4.56E+15,-470.98,-470.98,0,-1667.77,4/21/1995,185424,E,CG
57,13628682,0.01,0,0.01,10.47,4/30/1995,235959,,IN
5,13631413,0.22,0,0.22,173.44,2/28/1995,235959,,IN
21,13631592,294.65,294.65,0,461.56,4/30/1995,193733,A,DP
53,13627352,-174.09,-174.09,0,1401.61,8/22/1995,0,P,WD
35,13626932,0,0,0,188.41,5/5/1995,151708,A,IQ
7,4.56E+15,-53.16,-53.16,0,-3800,1/30/1995,105403,E,CG
32,13630132,0,0,0,0,6/2/1995,94513,B,IQ
3,4.56E+15,-46.63,-46.63,0,-268.46,10/7/1995,152111,E,CG
62,13634282,-151.74,-151.74,0,599.82,1/24/1995,0,P,WD
15,4.56E+15,-147.6,-147.6,0,-804.31,4/7/1995,234601,E,CG
34,4.56E+15,-455.25,-455.25,0,-2800,8/26/1995,105002,E,CG
26,13629712,-0.15,-0.15,0,1851.23,9/11/1995,0,,FK
24,13631302,-18.89,-18.89,0,244.48,1/17/1995,0,P,WD
65,13627432,-6.29,-6.29,0,0,5/31/1995,235959,,FP
38,4.56E+15,227.19,194.7,32.49,-2802.03,11/2/1995,0,M,PM
35,4.56E+15,-163.75,-163.75,0,-2343.47,10/17/1995,73137,E,CG
63,13627152,-146.65,-146.65,0,711.45,2/18/1995,113936,A,TR
79,13634032,0,0,0,525.19,3/20/1995,133534,K,IQ
32,13628962,0,0,0,19.89,2/6/1995,124114,V,IQ
76,13627352,163.69,163.69,0,451.68,8/25/1995,0,M,DP
29,13625552,-223.08,-223.08,0,160.88,1/12/1995,0,P,WD
50,4.56E+15,-325.79,-325.79,0,-759.3,11/30/1995,406,E,CG
18,13634003,-190.46,-190.46,0,300.15,5/1/1995,0,M,WD
99,13632712,-42.67,-42.67,0,876.19,3/22/1995,0,P,WD
19,4.56E+15,1171.58,1164.29,7.29,-35.71,3/7/1995,0,M,PM
36,4.56E+15,0,0,0,-257.5,11/1/1995,214840,B,IQ
20,13633332,0,0,0,16.97,1/9/1995,112658,A,IQ
21,4.56E+15,-13.31,-13.31,0,-235.26,10/27/1995,220001,E,CG
62,13633312,-98.63,-98.63,0,4624.93,3/25/1995,0,P,WD
34,4.56E+15,-28.45,-28.45,0,-3000,9/24/1995,221557,E,CG
11,13632352,-329.89,-329.89,0,2386.91,1/8/1995,154620,V,TR
56,13629682,-194.23,-194.23,0,509.41,3/7/1995,0,P,WD
25,4.56E+15,-578.64,-578.64,0,-2126.83,9/8/1995,195738,E,CG
29,13627362,-45.28,-45.28,0,2414.88,7/2/1995,0,P,WD
71,13634042,-12.04,-12.04,0,8.07,11/18/1995,0,P,WD
39,13632372,0,0,0,1255.28,5/25/1995,83349,C,IQ
8,13632342,-0.15,-0.15,0,239.79,1/9/1995,0,,FK
10,13633612,240.14,240.14,0,2826.97,1/4/1995,0,M,DP
21,4.56E+15,-79.74,-79.74,0,-997.76,6/13/1995,120032,E,CG
99,13627352,0,0,0,84.65,9/2/1995,121204,A,IQ
3,13630842,5.61,0,5.61,4490.35,3/31/1995,235959,,IN
29,13633032,-25.87,-25.87,0,2329.75,3/1/1995,125925,B,WD
74,13625052,-22.93,-22.93,0,22.93,8/14/1995,165051,C,TR
36,13625262,0,0,0,4.9,8/18/1995,185317,B,IQ
5,13625112,-111.07,-111.07,0,556.19,1/4/1995,0,P,WD
35,13626212,-80,-80,0,1063.92,8/2/1995,100938,A,WD
92,13634832,-0.15,-0.15,0,26.04,2/8/1995,0,,FK
81,13631652,-73.35,-73.35,0,68.9,2/26/1995,0,P,WD
48,4.56E+15,-29.93,-29.93,0,-187.11,11/19/1995,211744,E,CG
36,13625772,-26.95,-26.95,0,26.95,6/20/1995,0,P,WD
6,4.56E+15,-47.68,-47.68,0,-440.77,3/22/1995,211555,E,CG
15,13632653,-0.75,-0.75,0,498,10/20/1995,185449,,FU
29,13629792,-0.15,-0.15,0,42.58,1/8/1995,0,,FK
14,4.56E+15,-220.25,-220.25,0,-1713.71,4/9/1995,211550,E,CG
54,13629322,0,0,0,612.31,2/1/1995,94030,C,IQ
43,13628223,-245.93,-245.93,0,34.25,11/24/1995,80318,C,TR
25,4.56E+15,-102.65,-102.65,0,-834.69,9/30/1995,92511,E,CG
34,13628383,0.54,0,0.54,432.71,8/31/1995,235959,,IN
43,13629332,-103.94,-103.94,0,28.61,3/3/1995,0,P,WD
74,13630822,0,0,0,308.37,10/30/1995,112430,A,IQ
12,13629612,133.28,133.28,0,1745.94,1/3/1995,0,M,DP
54,13630022,-0.15,-0.15,0,1735.91,1/24/1995,0,,FK
69,4.56E+15,-524.31,-524.31,0,-3336.74,9/1/1995,80454,E,CG
34,13633332,157.85,157.85,0,174.5,1/19/1995,195107,B,DP
28,13629852,265.72,265.72,0,276.23,11/11/1995,0,M,DP
41,13631382,-29.81,-29.81,0,29.8,5/11/1995,141626,B,WD
88,13633982,-121.9,-121.9,0,979.92,12/6/1995,154027,A,TR
23,4.56E+15,-200,-200,0,-873.58,5/15/1995,115254,A,CA
91,13630832,0,0,0,2305.3,5/7/1995,225234,K,IQ
50,13628223,45.17,45.17,0,308.28,12/7/1995,231041,A,DP
20,13629363,1.46,0,1.46,586.24,10/31/1995,235959,,IN
27,13626772,-145.25,-145.25,0,618.91,1/16/1995,192627,E,WD
17,13631542,-10,-10,0,48.89,1/31/1995,235959,,FP
55,13629382,-148.33,-148.33,0,1358.01,3/13/1995,0,P,WD
17,13634932,0,0,0,6584.74,2/6/1995,180949,K,IQ
58,13626742,-230.51,-230.51,0,1918.6,5/20/1995,115223,V,TR
76,13633872,-0.15,-0.15,0,429.98,2/21/1995,0,,FK
52,13626062,523.62,523.62,0,2605.41,10/20/1995,234708,B,DP
18,13626432,201.62,201.62,0,3561.01,4/28/1995,0,M,DP
29,13627913,149.63,149.63,0,540.05,10/16/1995,210219,A,DP
63,13632982,905.89,905.89,0,1118.4,1/22/1995,0,M,DP
10,13632803,52.74,52.74,0,1175.9,3/25/1995,151336,A,DP
57,13630372,-45.58,-45.58,0,833.89,2/5/1995,0,P,WD
5,13626663,-160.63,-160.63,0,277.41,4/12/1995,91934,A,TR
91,13631702,0,0,0,583.48,9/23/1995,110855,A,IQ
84,13631122,-142.05,-142.05,0,1418.66,6/19/1995,0,P,WD
22,4.56E+15,1000,1000,0,0,8/6/1995,52030,A,PM
60,13633932,0,0,0,159.99,1/21/1995,141839,K,IQ
96,13625682,-10,-10,0,428.88,11/30/1995,235959,,FP
25,13631642,93.04,93.04,0,106.65,1/7/1995,60118,B,DP
59,13629612,162.3,162.3,0,336.47,1/18/1995,61247,B,DP
44,13629952,168.31,168.31,0,2802.4,9/25/1995,0,M,DP
83,13627912,0,0,0,195.59,2/13/1995,164017,A,IQ
5,4.56E+15,-34.23,-34.23,0,-2037.55,2/7/1995,44354,E,CG
19,13629783,-40,-40,0,739.82,6/26/1995,201951,A,WD
32,13629732,0,0,0,1574.56,2/20/1995,160655,A,IQ
5,13634903,2.85,0,2.85,2281.49,5/31/1995,235959,,IN
91,13631752,-60,-60,0,328.48,2/19/1995,204722,A,WD
5,4.56E+15,721.65,694.78,26.87,-1612.91,2/2/1995,0,M,PM
61,4.56E+15,-28.73,-28.73,0,-956.34,10/31/1995,101609,E,CG
5,4.56E+15,2039.94,2016.58,23.36,-272.37,1/3/1995,0,M,PM
8,13634802,0,0,0,1891.29,2/9/1995,161220,A,IQ
84,13630382,0,0,0,127.17,11/4/1995,323,V,IQ
24,4.56E+15,567.19,495.3,71.89,-5104.7,9/1/1995,0,M,PM
35,4.56E+15,-40,-40,0,-583.58,10/27/1995,92259,A,CA
24,13628642,-128.07,-128.07,0,128.07,9/26/1995,101745,A,TR
60,13627272,0,0,0,225.32,4/7/1995,44648,A,IQ
79,13629262,-79.42,-79.42,0,358.23,8/27/1995,0,P,WD
9,13631303,0.06,0,0.06,48.88,4/30/1995,235959,,IN
75,13632552,293.12,293.12,0,400.78,5/29/1995,61002,B,DP
52,13629412,-0.15,-0.15,0,258.02,2/9/1995,0,,FK
27,13628582,-0.75,-0.75,0,415.31,6/23/1995,201108,,FU
76,13634522,-94.01,-94.01,0,213.53,5/3/1995,0,P,WD
59,13629542,-193.32,-193.32,0,193.32,12/18/1995,0,P,WD
23,4.56E+15,393.01,342.94,50.07,-3557.06,8/2/1995,0,M,PM
45,4.56E+15,-200,-200,0,-600.78,11/5/1995,160541,A,CA
81,13630112,0.04,0,0.04,32.11,5/31/1995,235959,,IN
2,4.56E+15,0,0,0,-200,11/16/1995,214922,A,IQ
27,4.56E+15,-135.83,-135.83,0,-721.14,7/3/1995,112651,E,CG
12,13629372,-13.76,-13.76,0,13.75,1/6/1995,0,P,WD
44,13629782,0,0,0,3998.42,1/18/1995,221031,A,IQ
97,13625482,139.72,139.72,0,157.66,10/6/1995,82515,A,DP
41,13624892,-116.53,-116.53,0,473.97,4/18/1995,0,P,WD
49,4.56E+15,-120,-120,0,-890.23,9/2/1995,190534,A,CA
64,13634442,-15.6,-15.6,0,15.59,1/23/1995,0,P,WD
